0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /assets/img/servermap/ERROR_s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /assets/img/servermap/TOMCAT.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /assets/img/servermap/UNKNOWN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /assets/img/servermap/USER.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:45 +1100] "GET /getScatterData.pinpoint?application=TESTAPP&from=1585132124000&to=1585132424000&limit=5000&filter=&xGroupUnit=652&yGroupUnit=43&backwardDirection=true HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /serverTime.pinpoint HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /getServerMapDataV2.pinpoint?applicationName=TESTAPP&serviceTypeName=TOMCAT&from=1585132139187&to=1585132439187&calleeRange=1&callerRange=1&wasOnly=false&bidirectional=false HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /assets/img/servermap/TOMCAT.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /assets/img/servermap/ERROR_s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /assets/img/servermap/USER.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /assets/img/servermap/UNKNOWN.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /getScatterData.pinpoint?application=TESTAPP&from=1585132139187&to=1585132439187&limit=5000&filter=&xGroupUnit=652&yGroupUnit=43&backwardDirection=true HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [25/Mar/2020:21:33:59 +1100] "GET /agent/activeThread.pinpointws HTTP/1.1" 101 -
